Title 1,Title 2,Similarity Score
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,total attention: the effect of macroeconomic news on market reaction to earnings news,56.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,time-varying risk aversion and currency excess returns,93.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,mapping ecosystem services: practical challenges and opportunities in linking gis and value transfer,67.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,policies for synchronization in the transport–land-use system,79.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,does gender diversity in panels of judges matter? evidence from french child support cases,65.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,intuitive and reliable estimates of the output gap from a beveridge-nelson filter,60.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,human capital and regional growth perspective,86.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,titus cristureanu – leading figure of the romanian international business and economics higher education tradition,48.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,model calculations of short-run forecasts of russian economic time series.,73.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,resilience to climate change in industrial shrimping in bangladesh: assessing the comparative role of the stakeholders,53.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,convergence or divergence of south african cities and towns?,79.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,diversification-the key factors for success,98.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,twenty years of environment and development economics: advice to graduate students,65.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,ma-xrf imaging as a tool to characterize the 16th century heraldic stained-glass panels in ghent saint bavo cathedral,44.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,the impact of the consistency of carbon performance and carbon information disclosure on enterprise value,50.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,the australian real-time fiscal database: an overview with illustrations of its use in analysing fiscal policy,73.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,the choice of the voting structure for privatizing a company,73.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,economic measurement of capital and profitability,80.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,scientific—technological progress and the new problem of preventing the annihilation of the human world,43.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,usaf concerned about cost increase,97.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,beyond primacy: american grand strategy in the post-september 11 era,73.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,recent online resources for the analysis of terrorism and related subjects,71.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,dod's request for new base-closure authority facing uphill battle,78.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,economics of production of kesar mango in latur district of maharastra.,68.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,analysis of differences in the systems of anti-monopoly and regulatory policies of states,68.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,an interrupted time-series analysis to assess impact of introduction of co-payment on emergency room visits in cyprus,50.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,ten year plan and solution of india's middle class unemployment,80.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,las barreras no arancelarias al momento de la importación y su consecuencia en el comercio internacional,58.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,economic performance and international trade engagement: the case of portuguese manufacturing firms,48.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,45.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,51.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,saving lives with pre-arranged disaster aid: evidence from mexico,47.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,conditional cash transfers and child labor,58.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,do households gain from community-based natural resource management? an evaluation of community conservancies in namibia,50.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,access to imported intermediates and intra-firm wage inequality,43.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,the effect of early-childhood education on social preferences,47.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,an experimental study on the effects of democracy on tax compliance,39.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,dividend payouts and rollover crises,68.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,private sector credit and inflation volatility,54.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,46.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,the long or short of it: determinants of foreign currency exposure in external balance sheets,31.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,the effect of removing geographic restrictions on banking in the united states: lessons for europe,28.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,zimbabwe's export performance: the impact of the parallel market and governance factors,35.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,some reflections on the anarcho-capitalism of futerman and block,38.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,under-reaction to political information and price momentum,44.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,47.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,bayesian and classical approaches to instrumental variable regression,53.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,total attention: the effect of macroeconomic news on market reaction to earnings news,27.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,time-varying risk aversion and currency excess returns,64.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,mapping ecosystem services: practical challenges and opportunities in linking gis and value transfer,46.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,policies for synchronization in the transport–land-use system,52.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,does gender diversity in panels of judges matter? evidence from french child support cases,40.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,intuitive and reliable estimates of the output gap from a beveridge-nelson filter,29.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,human capital and regional growth perspective,57.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,titus cristureanu – leading figure of the romanian international business and economics higher education tradition,47.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,model calculations of short-run forecasts of russian economic time series.,46.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,resilience to climate change in industrial shrimping in bangladesh: assessing the comparative role of the stakeholders,44.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,convergence or divergence of south african cities and towns?,44.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,diversification-the key factors for success,65.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,twenty years of environment and development economics: advice to graduate students,34.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,ma-xrf imaging as a tool to characterize the 16th century heraldic stained-glass panels in ghent saint bavo cathedral,51.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,the impact of the consistency of carbon performance and carbon information disclosure on enterprise value,33.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,the australian real-time fiscal database: an overview with illustrations of its use in analysing fiscal policy,50.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,the choice of the voting structure for privatizing a company,48.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,economic measurement of capital and profitability,51.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,scientific—technological progress and the new problem of preventing the annihilation of the human world,26.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,usaf concerned about cost increase,66.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,beyond primacy: american grand strategy in the post-september 11 era,52.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,recent online resources for the analysis of terrorism and related subjects,46.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,dod's request for new base-closure authority facing uphill battle,53.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,economics of production of kesar mango in latur district of maharastra.,41.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,analysis of differences in the systems of anti-monopoly and regulatory policies of states,35.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,an interrupted time-series analysis to assess impact of introduction of co-payment on emergency room visits in cyprus,45.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,ten year plan and solution of india's middle class unemployment,53.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,las barreras no arancelarias al momento de la importación y su consecuencia en el comercio internacional,49.0
the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,economic performance and international trade engagement: the case of portuguese manufacturing firms,33.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,54.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,51.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,saving lives with pre-arranged disaster aid: evidence from mexico,78.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,conditional cash transfers and child labor,103.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,do households gain from community-based natural resource management? an evaluation of community conservancies in namibia,55.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,access to imported intermediates and intra-firm wage inequality,78.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,the effect of early-childhood education on social preferences,88.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,an experimental study on the effects of democracy on tax compliance,74.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,dividend payouts and rollover crises,105.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,private sector credit and inflation volatility,93.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,59.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,the long or short of it: determinants of foreign currency exposure in external balance sheets,62.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,the effect of removing geographic restrictions on banking in the united states: lessons for europe,55.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,zimbabwe's export performance: the impact of the parallel market and governance factors,76.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,some reflections on the anarcho-capitalism of futerman and block,81.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,under-reaction to political information and price momentum,79.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,46.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,bayesian and classical approaches to instrumental variable regression,80.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,total attention: the effect of macroeconomic news on market reaction to earnings news,60.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,time-varying risk aversion and currency excess returns,87.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,mapping ecosystem services: practical challenges and opportunities in linking gis and value transfer,55.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,policies for synchronization in the transport–land-use system,79.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,does gender diversity in panels of judges matter? evidence from french child support cases,65.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,intuitive and reliable estimates of the output gap from a beveridge-nelson filter,68.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,human capital and regional growth perspective,92.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,titus cristureanu – leading figure of the romanian international business and economics higher education tradition,54.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,model calculations of short-run forecasts of russian economic time series.,69.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,resilience to climate change in industrial shrimping in bangladesh: assessing the comparative role of the stakeholders,53.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,convergence or divergence of south african cities and towns?,79.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,diversification-the key factors for success,96.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,twenty years of environment and development economics: advice to graduate students,63.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,ma-xrf imaging as a tool to characterize the 16th century heraldic stained-glass panels in ghent saint bavo cathedral,66.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,the impact of the consistency of carbon performance and carbon information disclosure on enterprise value,54.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,the australian real-time fiscal database: an overview with illustrations of its use in analysing fiscal policy,63.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,the choice of the voting structure for privatizing a company,81.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,economic measurement of capital and profitability,88.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,scientific—technological progress and the new problem of preventing the annihilation of the human world,57.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,usaf concerned about cost increase,103.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,beyond primacy: american grand strategy in the post-september 11 era,83.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,recent online resources for the analysis of terrorism and related subjects,75.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,dod's request for new base-closure authority facing uphill battle,90.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,economics of production of kesar mango in latur district of maharastra.,74.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,analysis of differences in the systems of anti-monopoly and regulatory policies of states,62.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,an interrupted time-series analysis to assess impact of introduction of co-payment on emergency room visits in cyprus,38.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,ten year plan and solution of india's middle class unemployment,86.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,las barreras no arancelarias al momento de la importación y su consecuencia en el comercio internacional,64.0
evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,economic performance and international trade engagement: the case of portuguese manufacturing firms,58.0
saving lives with pre-arranged disaster aid: evidence from mexico,neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,80.0
saving lives with pre-arranged disaster aid: evidence from mexico,the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,47.0
saving lives with pre-arranged disaster aid: evidence from mexico,evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,78.0
saving lives with pre-arranged disaster aid: evidence from mexico,conditional cash transfers and child labor,37.0
saving lives with pre-arranged disaster aid: evidence from mexico,do households gain from community-based natural resource management? an evaluation of community conservancies in namibia,67.0
saving lives with pre-arranged disaster aid: evidence from mexico,access to imported intermediates and intra-firm wage inequality,22.0
saving lives with pre-arranged disaster aid: evidence from mexico,the effect of early-childhood education on social preferences,40.0
saving lives with pre-arranged disaster aid: evidence from mexico,an experimental study on the effects of democracy on tax compliance,42.0
saving lives with pre-arranged disaster aid: evidence from mexico,dividend payouts and rollover crises,37.0
saving lives with pre-arranged disaster aid: evidence from mexico,private sector credit and inflation volatility,35.0
saving lives with pre-arranged disaster aid: evidence from mexico,creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,63.0
saving lives with pre-arranged disaster aid: evidence from mexico,the long or short of it: determinants of foreign currency exposure in external balance sheets,54.0
saving lives with pre-arranged disaster aid: evidence from mexico,the effect of removing geographic restrictions on banking in the united states: lessons for europe,55.0
saving lives with pre-arranged disaster aid: evidence from mexico,zimbabwe's export performance: the impact of the parallel market and governance factors,50.0
saving lives with pre-arranged disaster aid: evidence from mexico,some reflections on the anarcho-capitalism of futerman and block,41.0
saving lives with pre-arranged disaster aid: evidence from mexico,under-reaction to political information and price momentum,41.0
saving lives with pre-arranged disaster aid: evidence from mexico,the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,58.0
saving lives with pre-arranged disaster aid: evidence from mexico,bayesian and classical approaches to instrumental variable regression,38.0
saving lives with pre-arranged disaster aid: evidence from mexico,total attention: the effect of macroeconomic news on market reaction to earnings news,52.0
saving lives with pre-arranged disaster aid: evidence from mexico,time-varying risk aversion and currency excess returns,33.0
saving lives with pre-arranged disaster aid: evidence from mexico,mapping ecosystem services: practical challenges and opportunities in linking gis and value transfer,47.0
saving lives with pre-arranged disaster aid: evidence from mexico,policies for synchronization in the transport–land-use system,41.0
saving lives with pre-arranged disaster aid: evidence from mexico,does gender diversity in panels of judges matter? evidence from french child support cases,43.0
saving lives with pre-arranged disaster aid: evidence from mexico,intuitive and reliable estimates of the output gap from a beveridge-nelson filter,36.0
saving lives with pre-arranged disaster aid: evidence from mexico,human capital and regional growth perspective,32.0
saving lives with pre-arranged disaster aid: evidence from mexico,titus cristureanu – leading figure of the romanian international business and economics higher education tradition,64.0
saving lives with pre-arranged disaster aid: evidence from mexico,model calculations of short-run forecasts of russian economic time series.,43.0
saving lives with pre-arranged disaster aid: evidence from mexico,resilience to climate change in industrial shrimping in bangladesh: assessing the comparative role of the stakeholders,65.0
saving lives with pre-arranged disaster aid: evidence from mexico,convergence or divergence of south african cities and towns?,31.0
saving lives with pre-arranged disaster aid: evidence from mexico,diversification-the key factors for success,42.0
saving lives with pre-arranged disaster aid: evidence from mexico,twenty years of environment and development economics: advice to graduate students,37.0
saving lives with pre-arranged disaster aid: evidence from mexico,ma-xrf imaging as a tool to characterize the 16th century heraldic stained-glass panels in ghent saint bavo cathedral,62.0
saving lives with pre-arranged disaster aid: evidence from mexico,the impact of the consistency of carbon performance and carbon information disclosure on enterprise value,62.0
saving lives with pre-arranged disaster aid: evidence from mexico,the australian real-time fiscal database: an overview with illustrations of its use in analysing fiscal policy,63.0
saving lives with pre-arranged disaster aid: evidence from mexico,the choice of the voting structure for privatizing a company,41.0
saving lives with pre-arranged disaster aid: evidence from mexico,economic measurement of capital and profitability,40.0
saving lives with pre-arranged disaster aid: evidence from mexico,scientific—technological progress and the new problem of preventing the annihilation of the human world,53.0
saving lives with pre-arranged disaster aid: evidence from mexico,usaf concerned about cost increase,43.0
saving lives with pre-arranged disaster aid: evidence from mexico,beyond primacy: american grand strategy in the post-september 11 era,31.0
saving lives with pre-arranged disaster aid: evidence from mexico,recent online resources for the analysis of terrorism and related subjects,45.0
saving lives with pre-arranged disaster aid: evidence from mexico,dod's request for new base-closure authority facing uphill battle,38.0
saving lives with pre-arranged disaster aid: evidence from mexico,economics of production of kesar mango in latur district of maharastra.,42.0
saving lives with pre-arranged disaster aid: evidence from mexico,analysis of differences in the systems of anti-monopoly and regulatory policies of states,48.0
saving lives with pre-arranged disaster aid: evidence from mexico,an interrupted time-series analysis to assess impact of introduction of co-payment on emergency room visits in cyprus,70.0
saving lives with pre-arranged disaster aid: evidence from mexico,ten year plan and solution of india's middle class unemployment,40.0
saving lives with pre-arranged disaster aid: evidence from mexico,las barreras no arancelarias al momento de la importación y su consecuencia en el comercio internacional,66.0
saving lives with pre-arranged disaster aid: evidence from mexico,economic performance and international trade engagement: the case of portuguese manufacturing firms,56.0
conditional cash transfers and child labor,neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,89.0
conditional cash transfers and child labor,the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,58.0
conditional cash transfers and child labor,evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,103.0
conditional cash transfers and child labor,saving lives with pre-arranged disaster aid: evidence from mexico,37.0
conditional cash transfers and child labor,do households gain from community-based natural resource management? an evaluation of community conservancies in namibia,78.0
conditional cash transfers and child labor,access to imported intermediates and intra-firm wage inequality,35.0
conditional cash transfers and child labor,the effect of early-childhood education on social preferences,29.0
conditional cash transfers and child labor,an experimental study on the effects of democracy on tax compliance,39.0
conditional cash transfers and child labor,dividend payouts and rollover crises,22.0
conditional cash transfers and child labor,private sector credit and inflation volatility,22.0
conditional cash transfers and child labor,creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,74.0
conditional cash transfers and child labor,the long or short of it: determinants of foreign currency exposure in external balance sheets,57.0
conditional cash transfers and child labor,the effect of removing geographic restrictions on banking in the united states: lessons for europe,68.0
conditional cash transfers and child labor,zimbabwe's export performance: the impact of the parallel market and governance factors,53.0
conditional cash transfers and child labor,some reflections on the anarcho-capitalism of futerman and block,26.0
conditional cash transfers and child labor,under-reaction to political information and price momentum,34.0
conditional cash transfers and child labor,the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,71.0
conditional cash transfers and child labor,bayesian and classical approaches to instrumental variable regression,35.0
conditional cash transfers and child labor,total attention: the effect of macroeconomic news on market reaction to earnings news,57.0
conditional cash transfers and child labor,time-varying risk aversion and currency excess returns,38.0
conditional cash transfers and child labor,mapping ecosystem services: practical challenges and opportunities in linking gis and value transfer,64.0
conditional cash transfers and child labor,policies for synchronization in the transport–land-use system,32.0
conditional cash transfers and child labor,does gender diversity in panels of judges matter? evidence from french child support cases,56.0
conditional cash transfers and child labor,intuitive and reliable estimates of the output gap from a beveridge-nelson filter,49.0
conditional cash transfers and child labor,human capital and regional growth perspective,23.0
conditional cash transfers and child labor,titus cristureanu – leading figure of the romanian international business and economics higher education tradition,73.0
conditional cash transfers and child labor,model calculations of short-run forecasts of russian economic time series.,42.0
conditional cash transfers and child labor,resilience to climate change in industrial shrimping in bangladesh: assessing the comparative role of the stakeholders,76.0
conditional cash transfers and child labor,convergence or divergence of south african cities and towns?,34.0
conditional cash transfers and child labor,diversification-the key factors for success,29.0
conditional cash transfers and child labor,twenty years of environment and development economics: advice to graduate students,50.0
conditional cash transfers and child labor,ma-xrf imaging as a tool to characterize the 16th century heraldic stained-glass panels in ghent saint bavo cathedral,75.0
conditional cash transfers and child labor,the impact of the consistency of carbon performance and carbon information disclosure on enterprise value,67.0
conditional cash transfers and child labor,the australian real-time fiscal database: an overview with illustrations of its use in analysing fiscal policy,72.0
conditional cash transfers and child labor,the choice of the voting structure for privatizing a company,42.0
conditional cash transfers and child labor,economic measurement of capital and profitability,25.0
conditional cash transfers and child labor,scientific—technological progress and the new problem of preventing the annihilation of the human world,62.0
conditional cash transfers and child labor,usaf concerned about cost increase,20.0
conditional cash transfers and child labor,beyond primacy: american grand strategy in the post-september 11 era,42.0
