Title 1,Title 2,Similarity Score,annotation_label,word_count_Title1,word_count_Title2
does performance related pay for teachers improve student performance? some evidence from india,testing stationarity in small‐ and medium‐sized samples when disturbances are serially correlated,54.0,0,13,12
does performance related pay for teachers improve student performance? some evidence from india,how do trade and communication costs shape the spatial organization of firms?,44.0,0,13,12
does performance related pay for teachers improve student performance? some evidence from india,do auctions and forced divestitures increase competition? evidence for retail gasoline markets,33.0,0,13,12
does performance related pay for teachers improve student performance? some evidence from india,evaluating the effects of large scale health interventions in developing countries: the zambian malaria initiative,65.0,0,13,15
does performance related pay for teachers improve student performance? some evidence from india,economics of the import of factors of production : comparative advantage and commercial policy,39.0,0,13,14
does performance related pay for teachers improve student performance? some evidence from india,safety stock management in single vendor–single buyer problem under vmi with consignment stock agreement,50.0,0,13,14
does performance related pay for teachers improve student performance? some evidence from india,why a government might want to consider foreign currency denominated debt,48.0,0,13,11
does performance related pay for teachers improve student performance? some evidence from india,surgical scheduling by fuzzy model considering inpatient beds shortage under uncertain surgery durations,57.0,0,13,13
does performance related pay for teachers improve student performance? some evidence from india,unit-root and stationarity testing with empirical application on industrial production of cee-4 countries,60.0,0,13,13
does performance related pay for teachers improve student performance? some evidence from india,construction of a reflective quality of life index for gauteng province in south africa,48.0,0,13,14
does performance related pay for teachers improve student performance? some evidence from india,the incidence of carbon taxes in u.s. manufacturing: lessons from energy cost pass-through,51.0,0,13,13
does performance related pay for teachers improve student performance? some evidence from india,improving living standards of small producers in lombok indonesia: entrepreneurship can be the key,43.0,0,13,14
does performance related pay for teachers improve student performance? some evidence from india,beyond obama's red lines: the syrian arab army and chemical warfare,56.0,0,13,11
does performance related pay for teachers improve student performance? some evidence from india,"the recreational value of beaches in the nelson mandela bay area, south africa",47.0,0,13,13
does performance related pay for teachers improve student performance? some evidence from india,what do prosecutors maximize? evidence from the careers of u.s. attorneys,40.0,0,13,11
does performance related pay for teachers improve student performance? some evidence from india,on the tacit collusion equilibria of a dynamic duopoly investment game,51.0,0,13,11
does performance related pay for teachers improve student performance? some evidence from india,role of digital economy and technology adoption for financial inclusion in india,57.0,0,13,12
does performance related pay for teachers improve student performance? some evidence from india,"epa eyes broad review of state, regional clean water permit programs",43.0,0,13,11
does performance related pay for teachers improve student performance? some evidence from india,"who passes business's ""model bills""? policy capacity and corporate influence in u.s. state politics",60.0,0,13,14
does performance related pay for teachers improve student performance? some evidence from india,the predicting model of urban residents pension income and expenditure based on multiple linear regression,43.0,0,13,15
does performance related pay for teachers improve student performance? some evidence from india,new and refreshment training demand for vietnam tourism human resources in tourism recovery situation,42.0,0,13,14
does performance related pay for teachers improve student performance? some evidence from india,thresholds and regime change in the market for renewable identification numbers,46.0,0,13,11
does performance related pay for teachers improve student performance? some evidence from india,"crisis, risk culture and the role model of the honourable merchant",51.0,0,13,11
does performance related pay for teachers improve student performance? some evidence from india,analysis of inflation and rupiah exchange rate on mudharabah savings at sharia commercial banks,64.0,0,13,14
does performance related pay for teachers improve student performance? some evidence from india,distributors segments of the division of surgical materials: an application of multivariate analysis,57.0,0,13,13
does performance related pay for teachers improve student performance? some evidence from india,economic analysis of wind and caes hybrid system using biomass based energy storage,52.0,0,13,13
does performance related pay for teachers improve student performance? some evidence from india,strategy of spatial planning and the advancement of urban competitiveness:taking nanjing city for example,56.0,0,13,14
the effect of essential medicines programme on rational use of medicines in china,does performance related pay for teachers improve student performance? some evidence from india,34.0,0,13,13
the effect of essential medicines programme on rational use of medicines in china,spousal control and intra-household decision making: an experimental study in the philippines,38.0,0,13,12
the effect of essential medicines programme on rational use of medicines in china,the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,31.0,0,13,13
the effect of essential medicines programme on rational use of medicines in china,impact of family planning health education on the knowledge and attitude among yasoujian women,47.0,0,13,14
the effect of essential medicines programme on rational use of medicines in china,analysis of the environmental effects of the clean heating policy in northern china,26.0,0,13,13
the effect of essential medicines programme on rational use of medicines in china,do political connections affect bank leverage? evidence from some middle eastern and north african countries,35.0,0,13,15
the effect of essential medicines programme on rational use of medicines in china,the transformation from traditional nonprofit organizations to social enterprises: an institutional entrepreneurship perspective,59.0,0,13,13
the effect of essential medicines programme on rational use of medicines in china,is per capita real gdp stationary in five southeastern european countries? fourier unit root test,42.0,0,13,15
the effect of essential medicines programme on rational use of medicines in china,concentrate or diversify? the relationship between tenant concentration and reit performance,41.0,0,13,11
the effect of essential medicines programme on rational use of medicines in china,testing stationarity in small‐ and medium‐sized samples when disturbances are serially correlated,40.0,0,13,12
the effect of essential medicines programme on rational use of medicines in china,how do trade and communication costs shape the spatial organization of firms?,32.0,0,13,12
the effect of essential medicines programme on rational use of medicines in china,do auctions and forced divestitures increase competition? evidence for retail gasoline markets,29.0,0,13,12
the effect of essential medicines programme on rational use of medicines in china,evaluating the effects of large scale health interventions in developing countries: the zambian malaria initiative,47.0,0,13,15
the effect of essential medicines programme on rational use of medicines in china,economics of the import of factors of production : comparative advantage and commercial policy,43.0,0,13,14
the effect of essential medicines programme on rational use of medicines in china,safety stock management in single vendor–single buyer problem under vmi with consignment stock agreement,38.0,0,13,14
the effect of essential medicines programme on rational use of medicines in china,why a government might want to consider foreign currency denominated debt,38.0,0,13,11
the effect of essential medicines programme on rational use of medicines in china,surgical scheduling by fuzzy model considering inpatient beds shortage under uncertain surgery durations,41.0,0,13,13
the effect of essential medicines programme on rational use of medicines in china,unit-root and stationarity testing with empirical application on industrial production of cee-4 countries,52.0,0,13,13
the effect of essential medicines programme on rational use of medicines in china,construction of a reflective quality of life index for gauteng province in south africa,34.0,0,13,14
the effect of essential medicines programme on rational use of medicines in china,the incidence of carbon taxes in u.s. manufacturing: lessons from energy cost pass-through,35.0,0,13,13
the effect of essential medicines programme on rational use of medicines in china,improving living standards of small producers in lombok indonesia: entrepreneurship can be the key,35.0,0,13,14
the effect of essential medicines programme on rational use of medicines in china,beyond obama's red lines: the syrian arab army and chemical warfare,50.0,0,13,11
the effect of essential medicines programme on rational use of medicines in china,"the recreational value of beaches in the nelson mandela bay area, south africa",37.0,0,13,13
the effect of essential medicines programme on rational use of medicines in china,what do prosecutors maximize? evidence from the careers of u.s. attorneys,36.0,0,13,11
the effect of essential medicines programme on rational use of medicines in china,on the tacit collusion equilibria of a dynamic duopoly investment game,33.0,0,13,11
the effect of essential medicines programme on rational use of medicines in china,role of digital economy and technology adoption for financial inclusion in india,39.0,0,13,12
the effect of essential medicines programme on rational use of medicines in china,"epa eyes broad review of state, regional clean water permit programs",43.0,0,13,11
the effect of essential medicines programme on rational use of medicines in china,"who passes business's ""model bills""? policy capacity and corporate influence in u.s. state politics",48.0,0,13,14
the effect of essential medicines programme on rational use of medicines in china,the predicting model of urban residents pension income and expenditure based on multiple linear regression,41.0,0,13,15
the effect of essential medicines programme on rational use of medicines in china,new and refreshment training demand for vietnam tourism human resources in tourism recovery situation,36.0,0,13,14
the effect of essential medicines programme on rational use of medicines in china,thresholds and regime change in the market for renewable identification numbers,26.0,0,13,11
the effect of essential medicines programme on rational use of medicines in china,"crisis, risk culture and the role model of the honourable merchant",39.0,0,13,11
the effect of essential medicines programme on rational use of medicines in china,analysis of inflation and rupiah exchange rate on mudharabah savings at sharia commercial banks,42.0,0,13,14
the effect of essential medicines programme on rational use of medicines in china,distributors segments of the division of surgical materials: an application of multivariate analysis,45.0,0,13,13
the effect of essential medicines programme on rational use of medicines in china,economic analysis of wind and caes hybrid system using biomass based energy storage,36.0,0,13,13
the effect of essential medicines programme on rational use of medicines in china,strategy of spatial planning and the advancement of urban competitiveness:taking nanjing city for example,42.0,0,13,14
spousal control and intra-household decision making: an experimental study in the philippines,does performance related pay for teachers improve student performance? some evidence from india,56.0,0,12,13
spousal control and intra-household decision making: an experimental study in the philippines,the effect of essential medicines programme on rational use of medicines in china,38.0,0,12,13
spousal control and intra-household decision making: an experimental study in the philippines,the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,43.0,0,12,13
spousal control and intra-household decision making: an experimental study in the philippines,impact of family planning health education on the knowledge and attitude among yasoujian women,39.0,0,12,14
spousal control and intra-household decision making: an experimental study in the philippines,analysis of the environmental effects of the clean heating policy in northern china,38.0,0,12,13
spousal control and intra-household decision making: an experimental study in the philippines,the transformation from traditional nonprofit organizations to social enterprises: an institutional entrepreneurship perspective,59.0,0,12,13
spousal control and intra-household decision making: an experimental study in the philippines,concentrate or diversify? the relationship between tenant concentration and reit performance,55.0,0,12,11
spousal control and intra-household decision making: an experimental study in the philippines,testing stationarity in small‐ and medium‐sized samples when disturbances are serially correlated,42.0,0,12,12
spousal control and intra-household decision making: an experimental study in the philippines,how do trade and communication costs shape the spatial organization of firms?,40.0,0,12,12
spousal control and intra-household decision making: an experimental study in the philippines,do auctions and forced divestitures increase competition? evidence for retail gasoline markets,39.0,0,12,12
spousal control and intra-household decision making: an experimental study in the philippines,impacts of native american casinos and resorts on local hotels,41.0,0,12,10
spousal control and intra-household decision making: an experimental study in the philippines,economics of the import of factors of production : comparative advantage and commercial policy,55.0,0,12,14
spousal control and intra-household decision making: an experimental study in the philippines,safety stock management in single vendor–single buyer problem under vmi with consignment stock agreement,52.0,0,12,14
spousal control and intra-household decision making: an experimental study in the philippines,why a government might want to consider foreign currency denominated debt,48.0,0,12,11
spousal control and intra-household decision making: an experimental study in the philippines,surgical scheduling by fuzzy model considering inpatient beds shortage under uncertain surgery durations,45.0,0,12,13
spousal control and intra-household decision making: an experimental study in the philippines,unit-root and stationarity testing with empirical application on industrial production of cee-4 countries,42.0,0,12,13
spousal control and intra-household decision making: an experimental study in the philippines,construction of a reflective quality of life index for gauteng province in south africa,46.0,0,12,14
spousal control and intra-household decision making: an experimental study in the philippines,the incidence of carbon taxes in u.s. manufacturing: lessons from energy cost pass-through,37.0,0,12,13
spousal control and intra-household decision making: an experimental study in the philippines,improving living standards of small producers in lombok indonesia: entrepreneurship can be the key,27.0,0,12,14
spousal control and intra-household decision making: an experimental study in the philippines,on the pitman estimator for a family of non-regular distributions,44.0,0,12,10
spousal control and intra-household decision making: an experimental study in the philippines,beyond obama's red lines: the syrian arab army and chemical warfare,58.0,0,12,11
spousal control and intra-household decision making: an experimental study in the philippines,"the recreational value of beaches in the nelson mandela bay area, south africa",49.0,0,12,13
spousal control and intra-household decision making: an experimental study in the philippines,what do prosecutors maximize? evidence from the careers of u.s. attorneys,50.0,0,12,11
spousal control and intra-household decision making: an experimental study in the philippines,on the tacit collusion equilibria of a dynamic duopoly investment game,37.0,0,12,11
spousal control and intra-household decision making: an experimental study in the philippines,role of digital economy and technology adoption for financial inclusion in india,39.0,0,12,12
spousal control and intra-household decision making: an experimental study in the philippines,using growth curves to determine the timing of booster sessions,48.0,0,12,10
spousal control and intra-household decision making: an experimental study in the philippines,"budgets permitting, marines could be fighting alongside robots by 2020s",50.0,0,12,10
spousal control and intra-household decision making: an experimental study in the philippines,the centrality of jerusalem to an end of conflict agreement,48.0,0,12,10
spousal control and intra-household decision making: an experimental study in the philippines,"epa eyes broad review of state, regional clean water permit programs",55.0,0,12,11
spousal control and intra-household decision making: an experimental study in the philippines,"who passes business's ""model bills""? policy capacity and corporate influence in u.s. state politics",40.0,0,12,14
spousal control and intra-household decision making: an experimental study in the philippines,"states, scientists urge drinking water standard for epa radiological guide",43.0,0,12,10
spousal control and intra-household decision making: an experimental study in the philippines,new and refreshment training demand for vietnam tourism human resources in tourism recovery situation,44.0,0,12,14
spousal control and intra-household decision making: an experimental study in the philippines,thresholds and regime change in the market for renewable identification numbers,42.0,0,12,11
spousal control and intra-household decision making: an experimental study in the philippines,"crisis, risk culture and the role model of the honourable merchant",41.0,0,12,11
spousal control and intra-household decision making: an experimental study in the philippines,analysis of inflation and rupiah exchange rate on mudharabah savings at sharia commercial banks,44.0,0,12,14
spousal control and intra-household decision making: an experimental study in the philippines,distributors segments of the division of surgical materials: an application of multivariate analysis,41.0,0,12,13
spousal control and intra-household decision making: an experimental study in the philippines,economic analysis of wind and caes hybrid system using biomass based energy storage,46.0,0,12,13
spousal control and intra-household decision making: an experimental study in the philippines,strategy of spatial planning and the advancement of urban competitiveness:taking nanjing city for example,46.0,0,12,14
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,does performance related pay for teachers improve student performance? some evidence from india,43.0,0,13,13
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,the effect of essential medicines programme on rational use of medicines in china,31.0,0,13,13
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,spousal control and intra-household decision making: an experimental study in the philippines,43.0,0,13,12
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,impact of family planning health education on the knowledge and attitude among yasoujian women,66.0,0,13,14
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,analysis of the environmental effects of the clean heating policy in northern china,43.0,0,13,13
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,do political connections affect bank leverage? evidence from some middle eastern and north african countries,46.0,0,13,15
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,the transformation from traditional nonprofit organizations to social enterprises: an institutional entrepreneurship perspective,64.0,0,13,13
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,is per capita real gdp stationary in five southeastern european countries? fourier unit root test,51.0,0,13,15
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,concentrate or diversify? the relationship between tenant concentration and reit performance,52.0,0,13,11
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,testing stationarity in small‐ and medium‐sized samples when disturbances are serially correlated,57.0,0,13,12
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,how do trade and communication costs shape the spatial organization of firms?,51.0,0,13,12
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,do auctions and forced divestitures increase competition? evidence for retail gasoline markets,36.0,0,13,12
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,evaluating the effects of large scale health interventions in developing countries: the zambian malaria initiative,46.0,0,13,15
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,economics of the import of factors of production : comparative advantage and commercial policy,48.0,0,13,14
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,safety stock management in single vendor–single buyer problem under vmi with consignment stock agreement,47.0,0,13,14
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,why a government might want to consider foreign currency denominated debt,53.0,0,13,11
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,surgical scheduling by fuzzy model considering inpatient beds shortage under uncertain surgery durations,54.0,0,13,13
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,unit-root and stationarity testing with empirical application on industrial production of cee-4 countries,55.0,0,13,13
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,construction of a reflective quality of life index for gauteng province in south africa,43.0,0,13,14
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,the incidence of carbon taxes in u.s. manufacturing: lessons from energy cost pass-through,44.0,0,13,13
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,improving living standards of small producers in lombok indonesia: entrepreneurship can be the key,40.0,0,13,14
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,beyond obama's red lines: the syrian arab army and chemical warfare,61.0,0,13,11
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,"the recreational value of beaches in the nelson mandela bay area, south africa",44.0,0,13,13
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,what do prosecutors maximize? evidence from the careers of u.s. attorneys,47.0,0,13,11
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,on the tacit collusion equilibria of a dynamic duopoly investment game,50.0,0,13,11
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,role of digital economy and technology adoption for financial inclusion in india,58.0,0,13,12
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,"epa eyes broad review of state, regional clean water permit programs",48.0,0,13,11
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,"who passes business's ""model bills""? policy capacity and corporate influence in u.s. state politics",53.0,0,13,14
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,the predicting model of urban residents pension income and expenditure based on multiple linear regression,44.0,0,13,15
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,new and refreshment training demand for vietnam tourism human resources in tourism recovery situation,55.0,0,13,14
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,thresholds and regime change in the market for renewable identification numbers,41.0,0,13,11
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,"crisis, risk culture and the role model of the honourable merchant",42.0,0,13,11
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,analysis of inflation and rupiah exchange rate on mudharabah savings at sharia commercial banks,49.0,0,13,14
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,distributors segments of the division of surgical materials: an application of multivariate analysis,48.0,0,13,13
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,economic analysis of wind and caes hybrid system using biomass based energy storage,59.0,0,13,13
the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,strategy of spatial planning and the advancement of urban competitiveness:taking nanjing city for example,51.0,0,13,14
impact of family planning health education on the knowledge and attitude among yasoujian women,does performance related pay for teachers improve student performance? some evidence from india,61.0,0,14,13
impact of family planning health education on the knowledge and attitude among yasoujian women,the effect of essential medicines programme on rational use of medicines in china,47.0,0,14,13
impact of family planning health education on the knowledge and attitude among yasoujian women,spousal control and intra-household decision making: an experimental study in the philippines,39.0,0,14,12
impact of family planning health education on the knowledge and attitude among yasoujian women,the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,66.0,0,14,13
impact of family planning health education on the knowledge and attitude among yasoujian women,analysis of the environmental effects of the clean heating policy in northern china,39.0,0,14,13
impact of family planning health education on the knowledge and attitude among yasoujian women,the impact of an integrated community-based micronutrient and health programme on stunting in malawian preschool children,37.0,0,14,16
impact of family planning health education on the knowledge and attitude among yasoujian women,do political connections affect bank leverage? evidence from some middle eastern and north african countries,46.0,0,14,15
impact of family planning health education on the knowledge and attitude among yasoujian women,the transformation from traditional nonprofit organizations to social enterprises: an institutional entrepreneurship perspective,70.0,0,14,13
impact of family planning health education on the knowledge and attitude among yasoujian women,is per capita real gdp stationary in five southeastern european countries? fourier unit root test,55.0,0,14,15
impact of family planning health education on the knowledge and attitude among yasoujian women,testing stationarity in small‐ and medium‐sized samples when disturbances are serially correlated,47.0,0,14,12
impact of family planning health education on the knowledge and attitude among yasoujian women,how do trade and communication costs shape the spatial organization of firms?,39.0,0,14,12
impact of family planning health education on the knowledge and attitude among yasoujian women,do auctions and forced divestitures increase competition? evidence for retail gasoline markets,52.0,0,14,12
impact of family planning health education on the knowledge and attitude among yasoujian women,evaluating the effects of large scale health interventions in developing countries: the zambian malaria initiative,54.0,0,14,15
impact of family planning health education on the knowledge and attitude among yasoujian women,economics of the import of factors of production : comparative advantage and commercial policy,50.0,0,14,14
impact of family planning health education on the knowledge and attitude among yasoujian women,assessment of the effectiveness of fuel and toll pricing policies in motorway emissions: an ex-post analysis,54.0,0,14,16
impact of family planning health education on the knowledge and attitude among yasoujian women,safety stock management in single vendor–single buyer problem under vmi with consignment stock agreement,45.0,0,14,14
impact of family planning health education on the knowledge and attitude among yasoujian women,surgical scheduling by fuzzy model considering inpatient beds shortage under uncertain surgery durations,56.0,0,14,13
impact of family planning health education on the knowledge and attitude among yasoujian women,unit-root and stationarity testing with empirical application on industrial production of cee-4 countries,53.0,0,14,13
impact of family planning health education on the knowledge and attitude among yasoujian women,construction of a reflective quality of life index for gauteng province in south africa,47.0,0,14,14
impact of family planning health education on the knowledge and attitude among yasoujian women,the incidence of carbon taxes in u.s. manufacturing: lessons from energy cost pass-through,50.0,0,14,13
impact of family planning health education on the knowledge and attitude among yasoujian women,improving living standards of small producers in lombok indonesia: entrepreneurship can be the key,44.0,0,14,14
impact of family planning health education on the knowledge and attitude among yasoujian women,"the recreational value of beaches in the nelson mandela bay area, south africa",48.0,0,14,13
impact of family planning health education on the knowledge and attitude among yasoujian women,role of digital economy and technology adoption for financial inclusion in india,40.0,0,14,12
impact of family planning health education on the knowledge and attitude among yasoujian women,"who passes business's ""model bills""? policy capacity and corporate influence in u.s. state politics",57.0,0,14,14
impact of family planning health education on the knowledge and attitude among yasoujian women,the predicting model of urban residents pension income and expenditure based on multiple linear regression,52.0,0,14,15
impact of family planning health education on the knowledge and attitude among yasoujian women,new and refreshment training demand for vietnam tourism human resources in tourism recovery situation,45.0,0,14,14
impact of family planning health education on the knowledge and attitude among yasoujian women,analysis of inflation and rupiah exchange rate on mudharabah savings at sharia commercial banks,47.0,0,14,14
impact of family planning health education on the knowledge and attitude among yasoujian women,distributors segments of the division of surgical materials: an application of multivariate analysis,46.0,0,14,13
impact of family planning health education on the knowledge and attitude among yasoujian women,economic analysis of wind and caes hybrid system using biomass based energy storage,47.0,0,14,13
impact of family planning health education on the knowledge and attitude among yasoujian women,strategy of spatial planning and the advancement of urban competitiveness:taking nanjing city for example,37.0,0,14,14
the economic benefits of returned-global chinese ipos,gmm estimation of non-gaussian structural vector autoregression,36.0,0,7,7
the economic benefits of returned-global chinese ipos,violent video games and crime,34.0,0,7,5
the economic benefits of returned-global chinese ipos,an index of competitiveness and cooperativeness for normal-form games,30.0,0,7,9
the economic benefits of returned-global chinese ipos,volatility-adjusted 60/40 versus 100--new risk investing paradigm,48.0,0,7,7
the economic benefits of returned-global chinese ipos,distortions of national policies to renewable energy cooperation mechanisms,32.0,0,7,9
the economic benefits of returned-global chinese ipos,law and finance in britain c. 1900,39.0,0,7,7
the economic benefits of returned-global chinese ipos,the productivity puzzle in business services,31.0,0,7,6
the economic benefits of returned-global chinese ipos,lessons from the financial crisis of 1907,28.0,0,7,7
the economic benefits of returned-global chinese ipos,recent changes in the u.s. business cycle,26.0,0,7,7
the economic benefits of returned-global chinese ipos,management connectedness and corporate investment,30.0,0,7,5
the economic benefits of returned-global chinese ipos,an empirical investigation into students' experience of fuel poverty,29.0,0,7,9
the economic benefits of returned-global chinese ipos,cooperation in symmetric duopolies with demand inertia,27.0,0,7,7
the economic benefits of returned-global chinese ipos,on signaling disability in anonymous economic games,34.0,0,7,7
the economic benefits of returned-global chinese ipos,cash holdings speed of adjustment,30.0,0,7,5
the economic benefits of returned-global chinese ipos,does the classification of intangibles matter? an equivalence testing,30.0,0,7,9
the economic benefits of returned-global chinese ipos,local and urban development in the european union,30.0,0,7,8
the economic benefits of returned-global chinese ipos,when youâve seen one financial crisisâ¦,27.0,0,7,6
the economic benefits of returned-global chinese ipos,environmental change and organizational transformation,37.0,0,7,5
the economic benefits of returned-global chinese ipos,counterterror intelligence operations and terror attacks,27.0,0,7,6
the economic benefits of returned-global chinese ipos,water for sustainable development in africa,24.0,0,7,6
the economic benefits of returned-global chinese ipos,legal literacy for muslim converts in malaysia,33.0,0,7,7
the economic benefits of returned-global chinese ipos,conflict-of-interest concerns raised in fda reg science collaborations,31.0,0,7,8
the economic benefits of returned-global chinese ipos,"does hiring at the ""wrong"" time pay off?",29.0,0,7,8
the economic benefits of returned-global chinese ipos,purchasing power of workers in the soviet union,24.0,0,7,8
the economic benefits of returned-global chinese ipos,final epa rule speeds emissions cuts from hand-held engines,24.0,0,7,9
the economic benefits of returned-global chinese ipos,policy implementation in hong kong,31.0,0,7,5
the economic benefits of returned-global chinese ipos,preliminary study of solar electricity using comparative analysis,38.0,0,7,8
analysis of the environmental effects of the clean heating policy in northern china,does performance related pay for teachers improve student performance? some evidence from india,48.0,0,13,13
analysis of the environmental effects of the clean heating policy in northern china,the effect of essential medicines programme on rational use of medicines in china,26.0,0,13,13
analysis of the environmental effects of the clean heating policy in northern china,spousal control and intra-household decision making: an experimental study in the philippines,38.0,0,13,12
analysis of the environmental effects of the clean heating policy in northern china,the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,43.0,0,13,13
analysis of the environmental effects of the clean heating policy in northern china,impact of family planning health education on the knowledge and attitude among yasoujian women,39.0,0,13,14
analysis of the environmental effects of the clean heating policy in northern china,do political connections affect bank leverage? evidence from some middle eastern and north african countries,37.0,0,13,15
analysis of the environmental effects of the clean heating policy in northern china,the transformation from traditional nonprofit organizations to social enterprises: an institutional entrepreneurship perspective,63.0,0,13,13
analysis of the environmental effects of the clean heating policy in northern china,is per capita real gdp stationary in five southeastern european countries? fourier unit root test,48.0,0,13,15
analysis of the environmental effects of the clean heating policy in northern china,concentrate or diversify? the relationship between tenant concentration and reit performance,35.0,0,13,11
analysis of the environmental effects of the clean heating policy in northern china,testing stationarity in small‐ and medium‐sized samples when disturbances are serially correlated,50.0,0,13,12
analysis of the environmental effects of the clean heating policy in northern china,how do trade and communication costs shape the spatial organization of firms?,40.0,0,13,12
analysis of the environmental effects of the clean heating policy in northern china,do auctions and forced divestitures increase competition? evidence for retail gasoline markets,43.0,0,13,12
analysis of the environmental effects of the clean heating policy in northern china,evaluating the effects of large scale health interventions in developing countries: the zambian malaria initiative,45.0,0,13,15
analysis of the environmental effects of the clean heating policy in northern china,economics of the import of factors of production : comparative advantage and commercial policy,47.0,0,13,14
analysis of the environmental effects of the clean heating policy in northern china,safety stock management in single vendor–single buyer problem under vmi with consignment stock agreement,42.0,0,13,14
analysis of the environmental effects of the clean heating policy in northern china,why a government might want to consider foreign currency denominated debt,38.0,0,13,11
analysis of the environmental effects of the clean heating policy in northern china,surgical scheduling by fuzzy model considering inpatient beds shortage under uncertain surgery durations,45.0,0,13,13
