title1,title2,sourcename1,sourcename2,word_count1,word_count2,annotation_label,L1_distance,Cosine_Similarity,similarity_score,L1_distance_norm,Cosine_Similarity_norm,similarity_score_norm,Average_Score
residential load forecast in china,perspective on farm size,semantic_scholar,jstor,5.0,4,0,22,0.7794228634059948,0.48543304,0.175,0.823957880443779,0.8266959,0.6085512664935481
regionale wissens-spillovers technischer hochschulen,direct revelation versus signalling,semantic_scholar,jstor,4.0,4,0,27,0.8381905440473534,0.37145966,0.2375,0.8860834554727837,0.68828964,0.6039576992689227
political ownership,non-parametric estimation of econometric functionals,ssrn,jstor,2.0,5,0,41,0.7698973538621048,0.2864818,0.4125,0.8138880980157489,0.5850948,0.6038276358493048
the political role of women,comptabilite nationale et tableaux economiques,semantic_scholar,jstor,5.0,5,0,27,0.838379952119936,0.37078822,0.2375,0.8862836860297141,0.6874743,0.6037526654759386
measuring economic uncertainty in china,la crisis financiera mundial,ssrn,jstor,5.0,4,0,23,0.846780394811451,0.3898738,0.1875,0.89516411702534,0.7106513,0.5977717985070429
ceo deal-making activities and compensation,discontent and economic growth,elsevier,jstor,5.0,4,0,21,0.8521718606261498,0.39292663,0.1625,0.9008636428587904,0.71435857,0.5925740703501062
sequentially stable coalition structures,government-sponsored research in international studies,repec,jstor,4.0,5,0,34,0.820494040249818,0.28615195,0.325,0.8673758008158952,0.58469427,0.5923566890450567
regime-switching models for exchange rates,distributional consequences of fisheries regulations,scopus,jstor,5.0,5,0,26,0.8684115042203014,0.32646418,0.225,0.9180311945733077,0.63364834,0.5922265101689977
customer-oriented service,airline coupons and pricing adjustments,scopus,jstor,2.0,5,0,26,0.6805524787012611,0.48457015,0.225,0.7194381948600385,0.825648,0.5900287348790358
understanding nominal gnp targeting,awaiting the millennium,semantic_scholar,jstor,4.0,3,0,22,0.8058766241453488,0.41560876,0.175,0.8519231681610464,0.7419031,0.5896087648002744
taloudellinen integraatio ja julkinen talous,la difícil relación franco-alemana,semantic_scholar,jstor,5.0,4,0,32,0.769256727327779,0.34295171,0.3,0.8132108670719806,0.6536704,0.5889604125502489
objectives of investment policies,international macroeconomic interdependence,semantic_scholar,jstor,4.0,3,0,28,0.7802804636965202,0.37266278,0.25,0.8248644826886264,0.68975073,0.5882050712266633
industriële omschakeling in europa,receivership in american unions,semantic_scholar,jstor,4.0,4,0,15,0.9039935293326323,0.39804208,0.0875,0.9556463215729656,0.7205706,0.5879056484825432
bayesian learning in repeated games,government and agriculture,scopus,jstor,5.0,3,0,23,0.816496580927726,0.3898738,0.1875,0.8631499328502086,0.7106513,0.587100403781999
characteristics of the female entrepreneur,mechanization in underdeveloped countries,semantic_scholar,jstor,5.0,4,0,27,0.8186978958365406,0.3455252,0.2375,0.8654770274885799,0.65679556,0.5865908629340697
bureaucratic structure and congressional control,photos from the quarter,semantic_scholar,jstor,5.0,4,0,37,0.7289819726332085,0.31637332,0.3625,0.7706348751790588,0.6213943,0.5848430505993388
cost pass-through with network externalities,testing the validity of aggregates,repec,jstor,5.0,5,0,26,0.8370293494663923,0.3352148,0.225,0.8848559120292535,0.6442749,0.5847102674840249
restoring the balance,administration of justice in germany,semantic_scholar,jstor,3.0,5,0,23,0.7976183414064397,0.3898738,0.1875,0.8431930199178679,0.7106513,0.5804480994712188
fibrations of financial events,persistence in international inflation rates,repec,jstor,4.0,5,0,22,0.9183850621874136,0.29322296,0.175,0.9708601643585676,0.5932811,0.5797137515393732
the rules of the game,how to stimulate postwar employment,semantic_scholar,jstor,5.0,5,0,22,0.7818149351649916,0.40529868,0.175,0.8264866314837467,0.7293828,0.5769564814868613
statesmen and sea power,federal-state revenue sharing,semantic_scholar,jstor,4.0,3,0,18,0.849422737711778,0.38629138,0.125,0.8979574393126093,0.7063009,0.5764194512000588
peer effects in academic cheating,hegel's critique of liberalism,scopus,jstor,5.0,4,0,25,0.7698396334461417,0.3827685,0.2125,0.8138270795444823,0.70202285,0.5761166433526469
augmented sustainability measures for scotland,equilibrium in stable markets,repec,jstor,5.0,4,0,25,0.8551633456984034,0.30825162,0.2125,0.9040260567617417,0.6115315,0.5760191842699051
la organización germinal,foreign policy-making and administrative politics,semantic_scholar,jstor,3.0,5,0,29,0.8277381083047038,0.29032633,0.2625,0.875033783716488,0.5897635,0.5757657686215402
simultaneous maximisation in economic theory,pollack and takeyh reply,semantic_scholar,jstor,5.0,4,0,36,0.5400421924444915,0.46835458,0.35,0.5708993681456743,0.80595624,0.5756185375381211
taxing systemic risk,soviet postwar industrial production,ssrn,jstor,3.0,4,0,26,0.7333333333333334,0.3959614,0.225,0.7752348659002108,0.7180439,0.5727595964260672
export-restraint arrangements and trade liberalization,some trends in international propaganda,semantic_scholar,jstor,5.0,5,0,21,0.9185834858291085,0.28571898,0.1625,0.9710699256202869,0.5841685,0.572579473122666
optimal unemployment insurance policy,soil conservation and floods,semantic_scholar,jstor,4.0,4,0,25,0.7287255600924336,0.40858728,0.2125,0.770363811622246,0.73337644,0.5720800850027746
projecting household dynamics,the peculiar economics of bureaucracy,semantic_scholar,jstor,3.0,5,0,22,0.7986840927471448,0.37781677,0.175,0.8443196666419968,0.6960095,0.5717763944526667
creating entrepreneurs through entrepreneurial universities,another job for jurisprudence,semantic_scholar,jstor,5.0,4,0,44,0.8232889631066349,0.1292183,0.45,0.8703304212424032,0.39411822,0.5714828802854773
conventional leasing vs islamic leasing,aggregation and the concentration-profitability relationship,repec,jstor,5.0,5,0,37,0.7936696270725072,0.21889545,0.3625,0.8390186821535801,0.50301975,0.5681794774239453
empires old and new,the changing nature of poverty,semantic_scholar,jstor,4.0,5,0,23,0.7071067811865475,0.4358037,0.1875,0.7475097691231128,0.76642734,0.5671457024154781
it's not the economy stupid,pigouvian exploitation of labor,semantic_scholar,jstor,5.0,4,0,28,0.7079582044705099,0.38285756,0.25,0.7484098414167951,0.702131,0.5668469382519586
development is an unyielding principle,revealed preferences and differentiable demand,semantic_scholar,jstor,5.0,5,0,30,0.7807875319912846,0.29784214,0.275,0.8254005240815727,0.59889054,0.5664303556885272
the deterministic optimal liquidation problem,interstate relations-some emergent trends,scopus,jstor,5.0,4,0,32,0.7689613559842404,0.2852354,0.3,0.8128986186666639,0.5835812,0.565493275949801
persistent equilibria in strategic games,reiterating the criminal code,semantic_scholar,jstor,5.0,4,0,19,0.8893923995147558,0.31231058,0.1375,0.9402109057779386,0.6164606,0.5647238423783009
belastinghervorming op historischen grondslag,the wellesley undergraduate tutorial,semantic_scholar,jstor,4.0,4,0,37,0.6724498488492748,0.31432092,0.3625,0.7108725932690244,0.6189019,0.5640915005555663
transformation of nuclear deterrence,healthcare-associated infection and hospital readmission,scopus,jstor,4.0,5,0,30,0.8004499241900788,0.27115896,0.275,0.8461863949627222,0.5664872,0.5625578626901091
public interest regulation reconsidered,the gold standard in australia,semantic_scholar,jstor,4.0,5,0,23,0.7181756255894955,0.4140251,0.1875,0.7592110701772807,0.73998004,0.5622303707193413
economic-impact-analysis-of-wave-energy-phase-one—version 2.pdf,the danish ombudsman,semantic_scholar,jstor,2.0,3,0,53,0.5930113018249076,0.21205199,0.5625,0.626895050519375,0.49470925,0.5613681012768441
margentarife erster schritt zur gemeinsamkeit,the armenians of palestine 1918–48,semantic_scholar,jstor,5.0,5,0,33,0.7768860357660614,0.25753832,0.3125,0.8212761023957031,0.54994667,0.5612409227198527
nomografische break-even-analyse en lineaire programmering,restoring world trade,repec,jstor,5.0,3,0,47,0.7359112913052772,0.14689054,0.4875,0.7779601244038602,0.4155789,0.5603463420571969
nested potentials and robust equilibria,consumer's surplus without apology,semantic_scholar,jstor,5.0,4,0,31,0.7262730392025629,0.31814164,0.2875,0.767771157481551,0.6235417,0.5596042900808255
an jnequality on prims,abraham lincoln and american constitutionalism,semantic_scholar,jstor,4.0,5,0,32,0.8610567718228918,0.18843025,0.3,0.9102562241408017,0.46602365,0.5587599592954843
the bitcoin revolution,technological progress and market structure,semantic_scholar,jstor,3.0,5,0,29,0.7342776207230632,0.32959753,0.2625,0.7762331084110496,0.63745344,0.5587288484208504
sinnvolle börsenreform durch organisatorische maßnahmen,false premises,semantic_scholar,jstor,5.0,2,0,43,0.6815506834246089,0.2287828,0.4375,0.720493435457555,0.5150267,0.5576733746777666
the behavior of agricultural output,two-stage budgeting and exact aggregation,semantic_scholar,jstor,5.0,5,0,32,0.703452458112659,0.32171857,0.3,0.7436466436801921,0.6278854,0.557177348309708
organisational institutionalisation of responsible innovation,conservation and australia,elsevier,jstor,5.0,3,0,39,0.8581284952940881,0.11370247,0.3875,0.907160630419721,0.37527624,0.5566456227153108
perceptions and preferences for redistribution,from lenin to stalin,semantic_scholar,jstor,5.0,4,0,32,0.734347536489247,0.29272616,0.3,0.7763070190559884,0.59267783,0.5563282835685895
"the ""transformation problem""",constrained indirect least squares estimators,semantic_scholar,jstor,3.0,5,0,33,0.7742150004973257,0.24742725,0.3125,0.8184524483024671,0.53766805,0.5562068325459822
lgbtq economics,contracts subject to non-state norms,econlit,jstor,2.0,5,0,29,0.7357672073819589,0.32170478,0.2625,0.7778078077479893,0.6278687,0.5560588398987947
mean reversions in gnma returns,invariance axioms and economic indexes,semantic_scholar,jstor,5.0,5,0,21,0.8074450046594661,0.34145766,0.1625,0.8535811635122403,0.65185606,0.5559790761028961
finansieringen af arbejdsløshedsunderstøttelsen,the president and the press,semantic_scholar,jstor,3.0,5,0,30,0.8287754140107481,0.2297802,0.275,0.8761303594663826,0.5162379,0.5557894246762026
saudi arabia's security alliances,ireland's foreign relations in 2016,semantic_scholar,jstor,4.0,5,0,26,0.7333630764492249,0.35311663,0.225,0.7752663084917467,0.6660144,0.5554268939314021
lembaga keuangan mikro di indonesia,czechoslovakia's territorial and population changes,semantic_scholar,jstor,5.0,5,0,30,0.8058172386410292,0.24830645,0.275,0.8518603894608496,0.5387357,0.5551986923978487
optimal pre-test estimators in regression,the transition to governing project,scopus,jstor,5.0,5,0,22,0.8573793429680613,0.28519204,0.175,0.9063686726883488,0.5835286,0.5549657503232505
distribution-sensitivity of rank-dependent poverty measures,substitution and efficiency once more,elsevier,jstor,5.0,5,0,30,0.8740767524175633,0.18695217,0.275,0.9240201462912565,0.46422872,0.5544162885880471
das ein-depot-auslieferungsproblem bei großer kundenzahl,brief notices,repec,jstor,5.0,2,0,45,0.7583952786593613,0.1305351,0.4625,0.8017288120238767,0.39571732,0.5533153782834207
preferred stock and taxes,rethinking welfare school‐attendance policies,semantic_scholar,jstor,4.0,4,0,26,0.7808202283119637,0.3050295,0.225,0.8254350886194507,0.6076187,0.552684592718833
sovereign defaults before domestic courts,retention of first-year economic principles,semantic_scholar,jstor,5.0,5,0,22,0.8511263145560073,0.28481725,0.175,0.8997583559031367,0.58307344,0.5526105977056781
trade liberalization in peru,latin america's crisis of representation,semantic_scholar,jstor,4.0,5,0,22,0.871165065546462,0.2671274,0.175,0.9209420901352633,0.5615913,0.5525111391085541
non-traditional funds for community transportation,some broad issues,semantic_scholar,jstor,5.0,3,0,43,0.5365548960382199,0.34224617,0.4375,0.5672128130158512,0.6528136,0.5525088088102051
china's regional disparities in 1978–2000,the new spirit of capitalism,semantic_scholar,jstor,5.0,5,0,25,0.8178329101049118,0.2826602,0.2125,0.864562617809946,0.58045393,0.5525055166984183
la vigilanza antitrust nell'ordinamento bancario,advertising and profitability,semantic_scholar,jstor,5.0,3,0,27,0.8646370649032903,0.21833079,0.2375,0.9140410896308919,0.50233406,0.5512917159718839
hierarchical experimentation,coopting workers under dictatorship,repec,jstor,2.0,4,0,25,0.7495316889958614,0.3380624,0.2125,0.7923587705545433,0.6477329,0.5508638946828844
subsidiarity in the european union,thinking social-scientifically about environmental quality,scopus,jstor,5.0,5,0,32,0.8456013639219527,0.18055165,0.3,0.8939177181341869,0.4564561,0.5501246043714756
interactions between corporate agency conflicts,france in search of security,ssrn,jstor,5.0,5,0,25,0.865321489660339,0.23523979,0.2125,0.9147646213600956,0.5228679,0.5500441797915406
natural disasters and labor markets,the renaissance of political culture,elsevier,jstor,5.0,5,0,25,0.7833040389218635,0.3038981,0.2125,0.8280608203263877,0.6062447,0.5489351678640245
lying to be fair,environmental threat and social organization,semantic_scholar,jstor,4.0,5,0,34,0.7763122068924855,0.21642011,0.325,0.8206694858277173,0.50001377,0.5485610848335535
wealth maximization and judicial decision-making,concept and teaching of economics,elsevier,jstor,5.0,5,0,31,0.7194072245088087,0.29543638,0.2875,0.760513040754176,0.595969,0.5479940206915064
regulação de mercados por licenciamento,the public life of love,repec,jstor,5.0,5,0,28,0.7106987194970925,0.33336937,0.25,0.7513069452337909,0.6420338,0.547780253539234
china's gross domestic product estimation,matrimonial causes,semantic_scholar,jstor,5.0,2,0,27,0.810041961260418,0.257143,0.2375,0.8563265061971781,0.54946655,0.5477643521824558
from economic to social theory,poem for jayne cortez,semantic_scholar,jstor,5.0,4,0,17,0.8490571267203342,0.32574022,0.1125,0.8975709378745316,0.6327692,0.5476133883008082
industrialization and china's rural modernization,mens rea and negligence,repec,jstor,5.0,4,0,38,0.638657700673786,0.29100794,0.375,0.6751496140063356,0.59059125,0.5469136219521545
energy-economy interactions in developing countries,ideology and humor preferences,semantic_scholar,jstor,5.0,4,0,27,0.859999877536516,0.21094763,0.2375,0.909138940549389,0.49336815,0.5466690297843667
american foreign investments,an extended duopoly game,semantic_scholar,jstor,3.0,4,0,24,0.6668650498481644,0.40941375,0.2,0.7049686874898806,0.7343801,0.5464496044964438
international organisation of administrative research,market allocation of exhaustive resources,semantic_scholar,jstor,5.0,5,0,26,0.8399725727719385,0.23670459,0.225,0.8879673065627847,0.5246467,0.5458713353304477
education and urban household location,agents with and without principals,elsevier,jstor,5.0,5,0,24,0.7762966796527759,0.3119406,0.2,0.8206530713855436,0.6160113,0.5455547976433969
the intergenerational transmission of generosity,beyond first use,elsevier,jstor,5.0,3,0,38,0.8060599359358184,0.14132354,0.375,0.8521169541037318,0.4088185,0.5453118224195718
poverty alleviation,forgetfulness and interest,semantic_scholar,jstor,2.0,3,0,23,0.6411286480138036,0.43891788,0.1875,0.6777617474560425,0.77020913,0.5451569603603577
wata—growing industrial power,utility-based measures of health,semantic_scholar,jstor,3.0,4,0,29,0.635880644317688,0.3816077,0.2625,0.672213880944767,0.7006132,0.5451090272030957
sharing rules in teams,organizational learning and strategic renewal,semantic_scholar,jstor,4.0,5,0,33,0.8201995322647244,0.17926782,0.3125,0.8670644650999898,0.45489705,0.5448205037297207
finite sensibility and utility functions,gorbachev's nationalities problem,scopus,jstor,5.0,3,0,35,0.7135750009870478,0.25118643,0.3375,0.7543475729999138,0.54223305,0.5446935409564837
giantommaso scarascia mugnozza,defence industries in international relations,semantic_scholar,jstor,3.0,5,0,39,0.5812355441942259,0.32512912,0.3875,0.6144464443088818,0.6320271,0.5446578446348922
market equilibrium with nonconvex technologies,space concerns,semantic_scholar,jstor,5.0,2,0,38,0.6132690283219112,0.3063453,0.375,0.6483102721798492,0.6092165,0.5441755944764638
capital accumulation and structural transformation,economics and public policy,scopus,jstor,5.0,4,0,31,0.6741065853146982,0.325243,0.2875,0.7126239930939396,0.6321654,0.5440964551552044
samuelsonian and weisbrodian public goods,the determination of unemployment benefits,scopus,jstor,5.0,5,0,33,0.6820356461746978,0.29704842,0.3125,0.7210061082291892,0.5979266,0.5438109082992968
public pricing under imperfect competition,national labor policy,elsevier,jstor,5.0,3,0,35,0.6211299937499416,0.3289628,0.3375,0.6566204010154564,0.6366826,0.5436010102002409
taxing externalities under financing constraints,the energy social system,scopus,jstor,5.0,4,0,32,0.7115384615384615,0.2810732,0.3,0.7521946688367429,0.5785268,0.543573821249058
eighth annual salary survey,delivering deliberation's emancipatory potential,semantic_scholar,jstor,4.0,4,0,33,0.7126786015959109,0.26902086,0.3125,0.7533999547338487,0.5638907,0.5432635501019161
pivots versus signals in elections,the violent police-citizen encounter,scopus,jstor,5.0,4,0,22,0.7317917228850433,0.36540088,0.175,0.7736051702150056,0.680932,0.5431790518644236
mobile marketing to millennials,edmond malinvaud's contributions to microeconomics,scopus,jstor,4.0,5,0,31,0.7709476106157471,0.23788977,0.2875,0.8149983648160727,0.526086,0.5428614458673408
credit supply and corporate innovation,atomic control,scopus,jstor,5.0,2,0,26,0.778498944161523,0.28257343,0.225,0.822981169882519,0.5803486,0.5427765935868366
value configurations in criminal entrepreneurship,airport privatization,semantic_scholar,jstor,5.0,2,0,32,0.72369513176105,0.26759627,0.3,0.7650459523955632,0.56216073,0.5424022275858339
georgescu-roegen/daly versus solow/stiglitz revisited,managing the public debt,elsevier,jstor,4.0,4,0,43,0.6091468170137107,0.25327578,0.4375,0.6439525240924966,0.5447703,0.5420742748269443
animals as food producers,settings for nashville symposium,semantic_scholar,jstor,4.0,4,0,21,0.7720605272874866,0.33775067,0.1625,0.81617487182531,0.64735436,0.5420097454068172
preferences for korean seniors housing,social welfare and income distribution,scopus,jstor,5.0,5,0,30,0.7716331963811643,0.24532872,0.275,0.8157231238918676,0.53511965,0.5419475922133251
multifrequency news and stock returns,geopolitical trends in central-eastern europe,elsevier,jstor,5.0,5,0,26,0.8606629658238706,0.2088942,0.225,0.9098399166760173,0.4908745,0.5419048052528609
quantitative easing and financial stability,migration in milwaukee,repec,jstor,5.0,3,0,33,0.8091157548016876,0.18066083,0.3125,0.8553473777337738,0.4565887,0.5414786877487722
post-crisis export performance in thailand,british ports policies since 1945,semantic_scholar,jstor,5.0,5,0,23,0.8541125199417883,0.24096762,0.1875,0.9029151884464954,0.52982366,0.5400796164323401
the problems with american exceptionalism,introductory remarks,semantic_scholar,jstor,5.0,2,0,33,0.6569672562035515,0.30900282,0.3125,0.6945053492233495,0.61244375,0.5398163647865368
corporate social responsibility for irresponsibility,wrong turn in somalia,scopus,jstor,5.0,4,0,41,0.7452860683952214,0.14789459,0.4125,0.7878705617586338,0.41679823,0.5390562652481782
motor transportation in the south,the economy of patronage,semantic_scholar,jstor,5.0,4,0,21,0.8121461201353397,0.295061,0.1625,0.8585508934561317,0.59551316,0.5388546861510776
money and south-south cooperation,science and technology,semantic_scholar,jstor,4.0,3,0,21,0.7585674494892166,0.34062856,0.1625,0.8019108204286878,0.6508492,0.5384200145218632
communication is not an option,medical malpractice problem,scopus,jstor,5.0,3,0,31,0.5300820102500283,0.4359604,0.2875,0.5603700765440385,0.76661766,0.5381625774327093
banking characteristics of millennials,urban bus deregulation in chile,scopus,jstor,4.0,5,0,21,0.829227982896771,0.2776069,0.1625,0.8766087874386552,0.5743174,0.5378087277085862
have investors stopped chasing performance,arms and the people,semantic_scholar,jstor,5.0,4,0,25,0.8733909728084094,0.19748083,0.2125,0.9232951822957934,0.47701442,0.5376032015708269
managed exchange rates,the female/male unemployment rate differential,scopus,jstor,3.0,5,0,34,0.7765904863601888,0.18789133,0.325,0.820963665753846,0.4653692,0.5371109534999545
know thy customer,additive von neumann-morgenstern utility functions,semantic_scholar,jstor,3.0,5,0,39,0.7036117363798678,0.19911093,0.3875,0.7438150228612654,0.47899398,0.5367696683126367
the economics of foreign aid,the reform of parliament,semantic_scholar,jstor,5.0,4,0,18,0.795592252958155,0.3349537,0.125,0.8410511639089935,0.64395785,0.5366696724087514
international determinants of religiosity,revelation and relevance,ssrn,jstor,4.0,3,0,25,0.762926680097962,0.29044807,0.2125,0.8065191307328681,0.58991134,0.5363101574666811
herausforderungen und chancen kooperativer regionalentwicklung,nonparametric bounds on treatment effects,semantic_scholar,jstor,5.0,5,0,37,0.8515749268943443,0.08962132,0.3625,0.9002326012567075,0.3460327,0.5362551033799977
advertising and media market concentration,the thought reform of intellectuals,semantic_scholar,jstor,5.0,5,0,31,0.6803459690686197,0.30003792,0.2875,0.719219885586355,0.601557,0.5360923006530118
railroad land-grant rates,further analysis of overurbanization,semantic_scholar,jstor,3.0,4,0,23,0.8064522275374377,0.27186623,0.1875,0.8525316606407888,0.5673461,0.535792585559869
the deep roots of rebellion,rousseau's political religion,elsevier,jstor,5.0,3,0,24,0.6996813019772167,0.3540938,0.2,0.7396600095152625,0.66720104,0.5356203505635185
the european banking disunion,guaranteed jobs for human rights,semantic_scholar,jstor,4.0,5,0,19,0.8000190256489557,0.3174439,0.1375,0.8457308755453438,0.6226944,0.5353084162253807
regulating securities analysts,intraurban variation of residential quality,scopus,jstor,3.0,5,0,27,0.8171382286345541,0.21862385,0.2375,0.8638282433146968,0.50268996,0.53467273364447
the invisible organization,indonesia's national car project revisited,semantic_scholar,jstor,3.0,5,0,24,0.8756884688804315,0.19813651,0.2,0.9257239537402939,0.47781068,0.5345115448688451
value relevance of intangible expenditures,operational interest rate rules,semantic_scholar,jstor,5.0,4,0,23,0.8679937828241943,0.21472785,0.1875,0.917589605222633,0.49795875,0.5343494515851108
energy law and economics,political science and political education,semantic_scholar,jstor,4.0,5,0,27,0.7767626503982819,0.25291973,0.2375,0.8211456669788241,0.5443379,0.5343278650913198
assessing china's top-down securities markets,djilas replies,ssrn,jstor,5.0,2,0,37,0.7225105236631958,0.1969207,0.3625,0.7637936576229936,0.4763342,0.534209290611168
price discrimination and business-cycle risk,switching of techniques,semantic_scholar,jstor,5.0,3,0,35,0.7885887649541755,0.15981045,0.3375,0.8336475074313587,0.43126854,0.5341386834787828
producer responsibility in cycling economy,policy-planning in the new diplomacy,semantic_scholar,jstor,5.0,5,0,22,0.8553571990445117,0.2339415,0.175,0.9042309865882526,0.52129126,0.5335074141797268
essays in french economic history,drug-exposed infants,semantic_scholar,jstor,5.0,2,0,27,0.6858790764609177,0.3264147,0.2375,0.7250691461780999,0.63358825,0.5320524668766172
improved methods of analysing projects,the triangle of conflict,repec,jstor,5.0,4,0,22,0.7751702321999271,0.2994869,0.175,0.8194622604672896,0.6008879,0.5317833850325739
an introduction to financial derivatives,incorporating exemption clauses,semantic_scholar,jstor,5.0,3,0,23,0.8486147351826602,0.22448547,0.1875,0.8971032687685533,0.5098081,0.5314704639600927
british vegetable consumption,the pursuit of informal economies,semantic_scholar,jstor,3.0,5,0,14,0.8577792526333046,0.30872667,0.075,0.9067914325734039,0.6121084,0.5312999473260528
opdrachtonderzoek voor een postmodern bestuur,market power and employment discrimination,semantic_scholar,jstor,5.0,5,0,29,0.7868415397746769,0.2147812,0.2625,0.8318004485071867,0.49802354,0.5307746627629191
correlation breakdowns in asset management,literal interpretation of statutes,semantic_scholar,jstor,5.0,4,0,26,0.8196887649355104,0.21696678,0.225,0.866524513315486,0.50067765,0.5307340528406458
budgetary consolidations in eu-12,cointegration and threshold adjustment,semantic_scholar,jstor,4.0,4,0,19,0.8688100585711448,0.2460365,0.1375,0.9184525217033941,0.53597915,0.5306438911430543
figures and tables,the politics of sugar,semantic_scholar,jstor,3.0,4,0,13,0.7624425757515653,0.39990723,0.0625,0.8060073654127854,0.72283566,0.5304476751311865
can we privatise competition policy,on the measurement of poverty,semantic_scholar,jstor,5.0,5,0,20,0.7276777973898455,0.35748512,0.15,0.7692561813791967,0.67131937,0.5301918489602002
income maintenance and income taxation,the demographics of inequality,semantic_scholar,jstor,5.0,4,0,30,0.7606388292556648,0.22544865,0.275,0.8041005556316027,0.5109778,0.5300261200974666
the competency of testamentary witnesses,delegatus non potest delegare,semantic_scholar,jstor,5.0,4,0,25,0.8445784116933441,0.20330952,0.2125,0.8928363159972309,0.48409265,0.5298096562649767
speculations on nonlinear speculative bubbles,evaluation of instruction,semantic_scholar,jstor,5.0,3,0,24,0.8178665029675181,0.23540382,0.2,0.8645981301167702,0.5230671,0.5292217489513786
69211_part ii_competition_gametheory and bertrand 14-15,doing it now or later,semantic_scholar,jstor,5.0,5,0,38,0.758511078931622,0.14249912,0.375,0.8018512289446093,0.4102461,0.529032444315536
mapping evolutionary economics in europe,inflation and unemployment,repec,jstor,5.0,3,0,24,0.8211562620230874,0.2319862,0.2,0.8680758609171634,0.51891685,0.5289975687462729
bargaining shocks and aggregate fluctuations,production et importations industrielles,repec,jstor,5.0,4,0,30,0.7185997976101824,0.25903043,0.275,0.7596594787312477,0.55175865,0.5288060418987582
agglomeration externalities in germany,the citizen's charter programme,semantic_scholar,jstor,4.0,4,0,23,0.818716950167146,0.24327704,0.1875,0.8654971705541685,0.5326281,0.5285417631820067
elements of economics,semiparametric estimation of index coefficients,semantic_scholar,jstor,3.0,5,0,28,0.8252931643720475,0.18541592,0.25,0.8724491394686248,0.46236312,0.5282707544541209
riskiness in risk measurement,the press of business,semantic_scholar,jstor,4.0,4,0,18,0.8173879972410677,0.2948004,0.125,0.8640922833131195,0.5951967,0.5280963357503693
power distribution fundamentals,treat india seriously,semantic_scholar,jstor,3.0,3,0,12,0.893765387586327,0.29002237,0.05,0.9448337596250946,0.5893944,0.5280760500693776
multidimensional heterogeneity and platform design,el eterno asunto del sahara,repec,jstor,5.0,5,0,25,0.8176298175326768,0.22206101,0.2125,0.8643479208422161,0.50686395,0.5279039575084202
transfer principles and inequality aversion,evicting palestine,semantic_scholar,jstor,5.0,2,0,27,0.8318030650070739,0.18877885,0.2375,0.8793310057583771,0.46644697,0.5277593238970744
experimental economics,reverse regression and employment discrimination,scopus,jstor,2.0,5,0,30,0.8812681332757204,0.11342789,0.275,0.9316224315301802,0.37494278,0.5271884036903987
strategic patenting and software innovation,nuclear decapitation,semantic_scholar,jstor,5.0,2,0,29,0.8563488385776753,0.14500393,0.2625,0.9052792868707709,0.41328788,0.5270223883024233
the credit crisis and securitisation,the crisis of the professoriate,semantic_scholar,jstor,5.0,5,0,19,0.8500331705159768,0.2529527,0.1375,0.8986027513032058,0.544378,0.5268269113065435
on the predictability of growth,union-non-union wage differentials revisited,semantic_scholar,jstor,5.0,4,0,31,0.7037321157550448,0.2564596,0.2875,0.7439422805277732,0.5486367,0.5266929851362515
